en,cn,crop,disease
Apple___Apple_scab,苹果黑星病,苹果,黑星病
Apple___Black_rot,苹果黑腐病,苹果,黑腐病
Apple___Cedar_apple_rust,苹果锈病,苹果,锈病
Apple___healthy,苹果健康,苹果,健康
Blueberry___healthy,蓝莓健康,蓝莓,健康
Cherry_(including_sour)___Powdery_mildew,樱桃白粉病,樱桃,白粉病
Cherry_(including_sour)___healthy,樱桃健康,樱桃,健康
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,玉米灰斑病,玉米,灰斑病
Corn_(maize)___Common_rust_,玉米锈病,玉米,锈病
Corn_(maize)___Northern_Leaf_Blight,玉米北方叶枯病,玉米,北方叶枯病
Corn_(maize)___healthy,玉米健康,玉米,健康
Grape___Black_rot,葡萄黑腐病,葡萄,黑腐病
Grape___Esca_(Black_Measles),葡萄黑麻疹病,葡萄,黑麻疹病
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),葡萄叶枯病,葡萄,叶枯病
Grape___healthy,葡萄健康,葡萄,健康
Orange___Haunglongbing_(Citrus_greening),柑橘黄龙病,柑橘,黄龙病
Peach___Bacterial_spot,桃细菌性斑点病,桃,细菌性斑点病
Peach___healthy,桃健康,桃,健康
Pepper,_bell___Bacterial_spot,甜椒细菌性斑点病,甜椒,细菌性斑点病
Pepper,_bell___healthy,甜椒健康,甜椒,健康
Potato___Early_blight,马铃薯早疫病,马铃薯,早疫病
Potato___Late_blight,马铃薯晚疫病,马铃薯,晚疫病
Potato___healthy,马铃薯健康,马铃薯,健康
Raspberry___healthy,覆盆子健康,覆盆子,健康
Soybean___healthy,大豆健康,大豆,健康
Squash___Powdery_mildew,南瓜白粉病,南瓜,白粉病
Strawberry___Leaf_scorch,草莓叶枯病,草莓,叶枯病
Strawberry___healthy,草莓健康,草莓,健康
Tomato___Bacterial_spot,番茄细菌性斑点病,番茄,细菌性斑点病
Tomato___Early_blight,番茄早疫病,番茄,早疫病
Tomato___Late_blight,番茄晚疫病,番茄,晚疫病
Tomato___Leaf_Mold,番茄叶霉病,番茄,叶霉病
Tomato___Septoria_leaf_spot,番茄斑枯病,番茄,斑枯病
Tomato___Spider_mites Two-spotted_spider_mite,番茄红蜘蛛,番茄,红蜘蛛
Tomato___Target_Spot,番茄靶斑病,番茄,靶斑病
Tomato___Tomato_Yellow_Leaf_Curl_Virus,番茄黄化曲叶病毒病,番茄,黄化曲叶病毒病
Tomato___Tomato_mosaic_virus,番茄花叶病毒病,番茄,花叶病毒病
Tomato___healthy,番茄健康,番茄,健康
